日期,方向,結算日,ATR,停損,停利,進場價,出場原因,損益點數,淨損益(元),年份
2011-01-20,空,,101,40,152,9011,尾盤出場,5.0,20,2011
2011-01-21,多,,110,44,164,8974,停損,-44.0,-470,2011
2011-01-24,多,,109,44,164,8930,尾盤出場,14.0,110,2011
2011-01-25,多,,100,40,149,9005,尾盤出場,-36.0,-390,2011
2011-01-26,多,,103,41,154,8998,移動停利,55.0,520,2011
2011-01-27,多,,97,39,146,9086,移動停利,20.0,170,2011
2011-01-28,多,,96,38,144,9124,尾盤出場,12.0,90,2011
2011-02-08,空,,92,37,138,9170,移動停利,88.0,850,2011
2011-02-09,空,,97,39,145,9067,移動停利,16.0,130,2011
2011-02-10,空,,104,42,156,8957,移動停利,78.0,750,2011
2011-02-11,空,,122,49,183,8787,移動停利,54.0,510,2011
2011-02-15,多,,129,52,194,8644,移動停利,69.0,660,2011
2011-02-17,空,,129,52,193,8634,移動停利,25.0,220,2011
2011-02-18,多,,134,53,200,8736,移動停利,89.0,860,2011
2011-02-21,空,,136,54,204,8784,移動停利,32.0,290,2011
2011-02-22,空,,148,59,222,8653,移動停利,63.0,600,2011
2011-02-23,空,,151,61,227,8576,移動停利,28.0,250,2011
2011-02-25,空,,164,66,247,8559,移動停利,51.0,480,2011
2011-03-02,空,,160,64,240,8591,尾盤出場,-8.0,-110,2011
2011-03-03,多,,157,63,235,8685,尾盤出場,54.0,510,2011
2011-03-07,空,,135,54,203,8721,移動停利,24.0,210,2011
2011-03-08,多,,125,50,188,8716,移動停利,22.0,190,2011
2011-03-09,空,,128,51,192,8786,移動停利,68.0,650,2011
2011-03-10,空,,130,52,194,8723,尾盤出場,101.0,980,2011
2011-03-11,空,,124,50,186,8543,移動停利,40.0,370,2011
2011-03-14,空,,133,53,199,8505,移動停利,119.0,1160,2011
2011-03-15,空,,151,61,227,8475,停利,227.0,2240,2011
2011-03-16,空,是,151,60,227,8377,尾盤出場,71.0,680,2011
2011-03-18,多,,148,59,223,8307,尾盤出場,16.0,130,2011
2011-03-21,多,,151,60,226,8363,移動停利,62.0,590,2011
2011-03-22,多,,149,60,224,8449,移動停利,10.0,70,2011
